mac;essid;channel;is_ap
4A:F5:AF:F7:4E:5A;Xiaomi_2744_5G, cassette;13;NO
24:2F:D0:22:E9:88;;9;NO
15:44:F4:72:8C:5F;;9;NO
24:2F:D0:72:4C:FE;;9;NO
24:2F:D0:32:E9:D2;;9;NO
37:69:48:AD:13:8F;;9;NO
A9:8F:54:FE:9A:C9;;9;NO
24:2F:D0:B2:37:69;;9;NO
2E:CB:A7:FF:08:56;;9;NO
18:2F:D0:3A:64:58;;9;NO
24:2F:F0:D3:8C:5F;;9;NO
07:E4:CC:7B:8C:5F;;9;NO
25:2F:D0:72:8C:5F;;9;NO
24:85:B2:EC:2C:3D;;9;NO
24:87:E5:94:BC:5F;;9;NO
E4:94:96:88:8F:1F;;9;NO
FE:61:F8:0B:65:8E;OMUT_STAFF;8;NO
E9:BE:00:68:D5:60;;9;NO
42:5C:54:B8:DD:60;;9;NO
24:2F:D0:76:FC:9C;;9;NO
40:2C:D4:72:8C:5F;;9;NO
24:2F:D0:72:9A:9C;;9;NO
24:2F:D0:94:FB:6E;;9;NO
63:2D:D0:72:8C:5F;;9;NO
40:86:48:42:33:94;;9;NO
43:2C:23:C9:44:43;;9;NO
CD:72:AF:65:33:94;;9;NO
63:6D:C5:C9:E0:D2;;9;NO
B8:DF:8D:51:27:C7;;9;NO
24:3F:D0:72:8C:5F;;9;NO
3C:27:D0:6A:4C:5B;;9;NO
24:5F:54:A4:44:A5;;9;NO
C2:58:BB:16:71:7F;;9;NO
3C:0B:59:B7:7E:E0;OMUT_STAFF;11;NO
1A:DF:D6:C2:8E:C9;;3;NO
76:1C:EF:F0:3A:81;;9;NO
24:AF:D1:72:8C:5F;;9;NO
24:7B:1C:3D:8C:5F;;9;NO
24:2F:D0:72:DC:AE;;9;NO
6A:FC:AD:62:77:47;;1;NO
5A:F8:18:C9:BA:ED;;9;NO
24:2F:D0:72:8C:E5;;9;NO
40:0C:31:EF:8C:5F;;9;NO
56:FD:3F:28:A6:C4;;9;NO
24:2F:D0:D5:EC:89;;9;NO
24:2F:80:67:7F:71;;9;NO
24:EF:CC:7B:8C:5F;;9;NO
24:67:D0:72:8C:5F;;9;NO
24:2F:54:F8:67:F1;;10;NO
24:2F:D0:9A:2B:80;;10;NO
8E:39:4B:7B:CB:41;;7;NO
24:2F:D0:86:37:59;;9;NO
31:28:D0:72:8C:5F;;9;NO
26:2F:D0:72:40:E4;;9;NO
FA:1A:62:73:8C:5F;;9;NO
EF:81:B5:69:8D:5F;;9;NO
24:2F:D0:72:63:85;;9;NO
24:2F:D0:72:8C:FF;;9;NO
F4:94:48:6D:8C:5F;;9;NO
24:8F:D2:72:8C:5F;;9;NO
1D:2F:D0:72:8C:5F;;9;NO
8E:17:D0:72:8C:5F;;10;NO
C2:77:89:78:31:08;;3;NO
A2:69:37:5B:3A:0C;;9;NO
1B:2D:D0:72:8C:5F;;9;NO
70:EA:6C:AB:B9:4D;;9;NO
24:2F:D0:32:AF:5E;;9;NO
CC:D4:0D:8E:22:CC;;9;NO
EF:F9:23:71:DC:56;;9;NO
24:2F:F4:C6:CA:C9;;9;NO
9F:19:48:F1:06:66;;9;NO
00:33:D0:72:8C:5F;;9;NO
64:34:79:8A:1D:5B;;9;NO
07:2F:D0:72:8C:5F;;9;NO
29:2F:D0:72:8C:DD;;9;NO
24:2F:D0:72:24:47;;9;NO
2D:28:D0:72:03:34;;10;NO
E8:00:23:9C:96:4A;;10;NO
24:2F:B0:04:71:F6;;9;NO
01:2F:D0:72:8C:5F;;9;NO
24:2F:AA:A5:EE:21;;9;NO
24:6F:6F:C9:46:E3;;9;NO
24:DB:6B:1E:DC:86;;9;NO
17:74:6B:0C:A6:7E;;9;NO
24:2F:D0:DA:14:40;;9;NO
4F:2C:D0:9A:63:05;;9;NO
00:26:C6:85:91:E4;OMUT_STAFF;11;NO
A2:9F:59:29:E9:6B;;6;NO
2C:2F:D0:72:8C:5F;;9;NO
6A:2F:D0:72:8C:5F;;9;NO
F9:2E:D0:72:8C:5F;;9;NO
24:2F:D0:72:8C:AC;;9;NO
D0:26:C5:41:63:BD;;9;NO
BA:6E:AE:6D:A8:D8;;13;NO
41:B5:DF:60:34:F3;;9;NO
EF:66:08:6E:80:2C;;9;NO
E2:CD:55:52:CC:DA;;4;NO
D6:3A:22:60:E7:84;;5;NO
EA:1E:E2:C5:D9:CF;;9;NO
72:71:D0:2D:22:7E;;1;NO
52:03:E0:E3:C3:F8;;3;NO
29:2F:D0:72:8C:5F;;9;NO
8D:E7:36:7A:3F:C7;;9;NO
7E:D3:24:8E:22:CE;;9;NO
